WHO_REGION,Name,Cases - cumulative total per 100000 population,Deaths - cumulative total per 100000 population,COUNTRY,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
WPRO,American Samoa,103.266,0,American Samoa,66.678,3
WPRO,Australia,9657.805,17.377,Australia,79.195,5
WPRO,Brunei Darussalam,4451.185,13.486,Brunei Darussalam,92.207,5
WPRO,Cambodia,732.509,18.033,Cambodia,82.296,7
WPRO,China,9.856,0.388,China,83.957,8
WPRO,Cook Islands,0,0,Cook Islands,71.908,1
WPRO,Fiji,7072.157,91.026,Fiji,68.514,3
WPRO,French Polynesia,19171.045,226.765,French Polynesia,58.537,2
WPRO,Guam,19395.645,180.714,Guam,77.547,3
WPRO,Japan,2898.788,15.748,Japan,78.836,4
WPRO,Kiribati,1871.091,1.674,Kiribati,38.523,2
WPRO,Lao People's Democratic Republic,1896.857,8.027,Lao People's Democratic Republic,52.715,8
WPRO,Malaysia,9193.049,99.101,Malaysia,78.798,8
WPRO,Marshall Islands,6.757,0,Marshall Islands,39.178,3
WPRO,Micronesia (Federated States of),0,0,Micronesia (Federated States of),38.372,4
WPRO,Mongolia,26704.166,62.99,Mongolia,66.207,6
WPRO,Nauru,0,0,Nauru,67.971,2
WPRO,New Caledonia,11955.25,99.475,New Caledonia,62.028,2
WPRO,New Zealand,392.681,1.099,New Zealand,81.343,4
WPRO,Niue,0,0,Niue,71.075,1
WPRO,Northern Mariana Islands (Commonwealth of the),12179.231,39.96,Northern Mariana Islands (Commonwealth of the),73.732,3
WPRO,Palau,16830.643,0,Palau,94.229,3
WPRO,Papua New Guinea,427.204,6.818,Papua New Guinea,2.548,4
WPRO,Philippines,3310.403,49.993,Philippines,53.324,11
WPRO,Pitcairn Islands,0,0,Pitcairn Islands,74,1
WPRO,Republic of Korea,2417.216,13.677,Republic of Korea,85.812,5
WPRO,Samoa,16.632,0,Samoa,62.789,2
WPRO,Singapore,7514.774,15.076,Singapore,81.234,4
WPRO,Solomon Islands,611.894,7.279,Solomon Islands,11.647,4
WPRO,Tokelau,0,0,Tokelau,71.704,1
WPRO,Tonga,69.067,0,Tonga,60.25,2
WPRO,Tuvalu,0,0,Tuvalu,49.898,1
WPRO,Vanuatu,2.279,0,Vanuatu,24.031,3
WPRO,Viet Nam,2497.142,39.746,Viet Nam,76.035,6
WPRO,Wallis and Futuna,4028.099,62.244,Wallis and Futuna,54.562,1
